Unnamed: 0,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount
173,Wilt Data Set,4889,Life,6,3/13/2014,No,59614,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Institute for Global Environmental Strategies', 'Kamiyamaguchi', 'Japan', 'JPN']]",2014,3-2014,6,29334
174,MoCap Hand Postures Data Set,78095,Computer,38,11/22/2016,Yes,21558,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['Quinnipiac University', 'Hamden, CT', 'United States', 'USA'], ['Louisiana Tech University', 'Ruston, LA', 'United States', 'USA']]",2016,11-2016,4,2967610
176,Madelon Data Set,4400,Other,500,2/29/2008,No,135366,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, Berkeley', 'Berkeley, CA', 'United States', 'USA']]",2008,2-2008,12,2200000
177,Contraceptive Method Choice Data Set,1473,Life,9,7/7/1997,No,194079,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['University of South Carolina', 'Columbia, SC', 'United States', 'USA'], ['University of Wisconsin', 'Madison, WI', 'United States', 'USA']]",1997,7-1997,23,13257
178,Newspaper and magazine images segmentation dataset Data Set,101,Computer,0,7/15/2014,No,27601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['National Research Nuclear University MEPhI', 'Moscow', 'Russia', 'RUS']]",2014,7-2014,6,0
179,Chronic_Kidney_Disease Data Set,400,Other,25,7/3/2015,Yes,170935,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Alagappa University', 'Karaikudi', 'India', 'IND']]",2015,7-2015,5,10000
180,Bach Choral Harmony Data Set,5665,Other,17,5/20/2014,No,49594,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Universita di Torino', 'Turin', 'Italy', 'ITA']]",2014,5-2014,6,96305
181,Ultrasonic flowmeter diagnostics Data Set,540,Computer,173,1/13/2018,No,16637,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Coventry University', 'Coventry', 'United Kingdom', 'GBR']]",2018,1-2018,2,93420
182,KDC-4007 dataset Collection Data Set,4007,Computer,0,4/27/2017,No,31104,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,"[['University of Sulaimania', 'Kurdistan', 'Iraq', 'IRQ']]",2017,4-2017,3,0
183,Synthetic Control Chart Time Series Data Set,600,Other,0,6/8/1999,No,80071,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['Aristotle University of Thessaloniki', 'Thessaloniki', 'Greece', 'GRC']]",1999,6-1999,21,0
184,First-order theorem proving Data Set,6118,Computer,51,4/17/2013,No,42987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Cambridge', 'Cambridge', 'United Kingdom', 'GBR']]",2013,4-2013,7,312018
185,Online Retail Data Set,541909,Business,8,11/6/2015,No,489566,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['London South Bank University', 'London', 'United Kingdom', 'GBR']]",2015,11-2015,5,4335272
186,Semeion Handwritten Digit Data Set,1593,Computer,256,11/11/2008,No,127767,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Semeion, Research Center of Sciences of Communication', 'Rome', 'Italy', 'ITA']]",2008,11-2008,12,407808
187,HTRU2 Data Set,17898,Physical,9,2/14/2017,No,61898,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['University of Manchester', 'Manchester', 'United Kingdom', 'GBR']]",2017,2-2017,3,161082
188,Superconductivty Data Data Set,21263,Physical,81,10/12/2018,No,42447,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['University of Pennsylvania', 'Philadelphia, PA', 'United States', 'USA']]",2018,10-2018,2,1722303
189,MiniBooNE particle identification Data Set,130065,Physical,50,12/13/2010,No,52085,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Michigan', 'Ann Arbor, MI', 'United States', 'USA']]",2010,12-2010,10,6503250
190,banknote authentication Data Set,1372,Computer,5,4/16/2013,No,252153,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Applied Sciences, Ostwestfalen-Lippe', 'Lemgo', 'Germany', 'DEU']]",2013,4-2013,7,6860
